model,arm,mode,N,lam,valid,novel,prop,hits@0.5,hits@0.55,hits@0.6,hits@0.65,hits@0.7
MDLM,C,edlm,30,200.0,665,309,0.5049013828352942,167,72,28,3,0
MDLM,C,edlm,100,200.0,711,350,0.512544060681798,192,99,31,5,0
MDLM,C,edlm,300,200.0,746,428,0.5151198972814138,249,132,42,5,0
MDLM,C,edlm,10,1000.0,651,290,0.4899047068289408,116,54,19,2,0
MDLM,C,edlm,30,1000.0,667,323,0.5067431065492367,175,78,36,4,0
MDLM,C,edlm,100,1000.0,705,356,0.5153765935408808,208,114,27,7,0
MDLM,C,edlm,300,1000.0,747,448,0.5167771655136697,261,135,37,9,0
MDLM,C,edlm,10,5000.0,652,287,0.4894114764782544,113,53,17,2,0
MDLM,C,edlm,30,5000.0,664,314,0.5076674889181932,172,78,36,4,0
MDLM,C,edlm,100,5000.0,705,357,0.5135693108382681,202,110,27,6,0
MDLM,C,edlm,300,5000.0,747,452,0.5163591048819605,264,135,40,8,0
MDLM,C,marginal,10,20.0,627,260,0.467769294021321,85,31,9,0,0
MDLM,C,marginal,30,20.0,676,312,0.4849997925118025,121,58,19,2,0
MDLM,C,marginal,100,20.0,697,313,0.482771156012913,119,49,14,2,0
MDLM,C,marginal,300,20.0,742,337,0.4778684785350706,119,54,12,1,0
MDLM,C,marginal,10,50.0,628,268,0.4755084217641701,98,33,12,2,0
MDLM,C,marginal,30,50.0,669,308,0.4944245503017716,137,73,26,2,0
MDLM,C,marginal,100,50.0,706,332,0.4964001423900286,147,67,24,4,0
MDLM,C,marginal,300,50.0,725,355,0.4970225695387252,160,78,28,1,0
MDLM,C,marginal,10,200.0,634,272,0.481612078424657,105,38,11,2,0
MDLM,C,marginal,30,200.0,671,328,0.5018035975183524,167,83,33,6,0
MDLM,C,marginal,100,200.0,697,355,0.5064550594168019,180,85,34,7,0
MDLM,C,marginal,300,200.0,723,393,0.5159553840795865,224,117,50,8,0
MDLM,C,marginal,10,1000.0,637,276,0.4831581989275921,106,43,12,1,0
MDLM,C,marginal,30,1000.0,681,330,0.5006823344843574,163,78,34,7,0
MDLM,C,marginal,100,1000.0,701,380,0.5077683160490954,200,97,39,9,0
MDLM,C,marginal,300,1000.0,732,415,0.5194089197495199,254,132,55,9,1
MDLM,C,marginal,10,5000.0,634,274,0.483434388240207,107,43,13,1,0
MDLM,C,marginal,30,5000.0,678,325,0.5001760973298376,161,76,34,6,0
MDLM,C,marginal,100,5000.0,700,381,0.5085504522243317,205,98,42,10,0
MDLM,C,marginal,300,5000.0,733,419,0.5185695264781299,257,130,52,9,0
UDLM,A,edlm,10,20.0,900,222,0.4817986522017964,91,44,14,2,0
UDLM,A,edlm,30,20.0,936,252,0.4882205933982179,103,51,18,3,0
UDLM,A,edlm,100,20.0,952,300,0.5018835840906203,165,74,15,2,0
UDLM,A,edlm,300,20.0,963,327,0.4936627609699054,157,69,8,1,0
UDLM,A,edlm,10,50.0,894,228,0.5014266239859443,125,61,15,1,0
UDLM,A,edlm,30,50.0,929,236,0.5075605368116407,139,74,18,1,0
UDLM,A,edlm,100,50.0,932,263,0.5194062553289441,180,91,31,1,0
UDLM,A,edlm,300,50.0,957,290,0.5296818904227745,198,109,34,5,0
UDLM,A,edlm,10,200.0,890,240,0.5120628042225138,144,67,24,4,0
UDLM,A,edlm,30,200.0,930,254,0.521061508881981,176,87,17,2,0
UDLM,A,edlm,100,200.0,916,307,0.5329861042653457,230,145,38,4,0
UDLM,A,edlm,300,200.0,948,306,0.5426076110763214,243,141,55,7,1
