N,k,steps,lam,metric,marginal_mean,marginal_sd,marginal_n,edlm_mean,edlm_sd,edlm_n,diff_mean,diff_sd,diff_se,diff_n
30,2,16,200.0,novel_qed_mean,0.49163448046169733,0.002465937998851323,5,0.4914600433521488,0.002198227485510785,5,0.00017443710954850866,0.0031898959850280404,0.00142656485273527,5
30,2,16,200.0,max,0.6896793892955771,0.011710250915428523,5,0.682255043792474,0.011411541603316576,5,0.007424345503103091,0.015982073061917384,0.0071474003575630945,5
30,2,16,1000.0,valid,1154.0,23.24865587512534,5,1143.8,12.853015210447703,5,10.2,24.7325696198353,11.060741385639572,5
30,2,16,1000.0,novel,560.8,15.22169504358828,5,556.8,22.64287967551831,5,4.0,28.19574435974337,12.609520212918492,5
30,2,16,1000.0,hits@0.6,32.6,5.366563145999495,5,34.6,8.96102672688794,5,-2.0,13.360389215887388,5.974947698515862,5
30,2,16,1000.0,hits@0.65,5.8,1.3038404810405297,5,6.8,3.420526275297414,5,-1.0,3.5355339059327378,1.5811388300841895,5
30,2,16,1000.0,novel_qed_mean,0.4925552614771246,0.002137436783234775,5,0.4920182171931573,0.0023958399873516196,5,0.0005370442839672584,0.002696100704996426,0.001205732890111423,5
30,2,16,1000.0,max,0.69253131616324,0.005364374848207271,5,0.6838776149504994,0.012643640717858192,5,0.008653701212740606,0.011798411155095575,0.005276409873857104,5
30,4,8,0.0,valid,395.0,29.111853256019273,5,396.8,11.541230437002806,5,-1.8,23.80546155822231,10.64612605598863,5
30,4,8,0.0,novel,228.0,24.320773014030618,5,234.6,12.541929676090518,5,-6.6,23.922792479140053,10.698598038995575,5
30,4,8,0.0,hits@0.6,6.6,3.1304951684997055,5,8.0,2.6457513110645907,5,-1.4,2.701851217221259,1.208304597359457,5
30,4,8,0.0,hits@0.65,0.8,1.3038404810405297,5,1.6,1.51657508881031,5,-0.8,2.280350850198276,1.019803902718557,5
30,4,8,0.0,novel_qed_mean,0.4569760235378044,0.003739704366665418,5,0.4628900998592193,0.005161755619930398,5,-0.005914076321414908,0.005231207982834009,0.0023394673308112794,5
30,4,8,0.0,max,0.6551899132500806,0.0347785550990485,5,0.6735728277594334,0.02302251557995264,5,-0.01838291450935281,0.029791086334119362,0.013322978833331181,5
30,4,8,20.0,valid,603.2,28.81319142337412,5,623.8,29.953296980466106,5,-20.6,34.86115316509194,15.590381650235505,5
30,4,8,20.0,novel,393.4,22.995651762887697,5,416.4,33.32866633995426,5,-23.0,32.58834147360065,14.573949361789344,5
30,4,8,20.0,hits@0.6,15.6,0.8944271909999159,5,18.4,3.4351128074635335,5,-2.8,2.7748873851023217,1.2409673645990857,5
30,4,8,20.0,hits@0.65,2.8,0.8366600265340756,5,2.6,1.51657508881031,5,0.2,1.3038404810405297,0.58309518948453,5
30,4,8,20.0,novel_qed_mean,0.472903280648183,0.0012463815425439568,5,0.47401823888187117,0.0023616180752944315,5,-0.001114958233688157,0.0016830792869051876,0.0007526959394083742,5
